text,label
Getting payment declines right now; any update?.,negative
Getting timeouts right now; please fix it.,negative
App keeps crashing after the update.,negative
Support followed up and confirmed everything was solved.,positive
Still not working and I need help.,negative
The app is broken — payments won't go through.,negative
Fees and charges feel unclear and unfair.,negative
Really satisfied with the bill payment experience.,positive
Card rewards are actually pretty good.,positive
"Support chat keeps disconnecting, useless.",negative
Still crashing and I am stuck.,negative
branch service worked smoothly and the service was positive.,positive
Still not working and I am frustrated.,negative
App performance is much better this week.,positive
Card declined and I'm embarrassed at checkout.,negative
Still timing out and I am stuck.,negative
Getting errors all day; what's going on?.,negative
Getting errors for hours; any update?.,negative
Everything processed smoothly — very convenient.,positive
Bill payment failed and now I'm stuck.,negative
App is pleasant and fast lately.,positive
App is smooth and clean lately.,positive
Customer support is broken — keeps timing out.,negative
Getting payment declines right now; someone help.,negative
App is pleasant and reliable lately.,positive
The branch queue moved quickly today.,positive
Support kept transferring me and nothing changed.,negative
Getting timeouts for hours; what's going on?.,negative
Getting an error message every time I try to pay.,negative
The mobile app is down — can't log in.,negative
"Reward points posted correctly, all good.",positive
Why is it always down when I need it?,negative
Online banking loaded quickly for me.,positive
"Had a great branch visit, no waiting time.",positive
"This is unacceptable: it worked yesterday, not today.",negative
Really satisfied with the customer support experience.,positive
"Really easy to open an account, smooth process.",positive
Had a great experience with customer support today.,positive
Rewards redemption was simple and quick.,positive
Support fixed my issue quickly.,positive
branch service worked without issues and the service was smooth.,positive
Had a reliable experience with card payments today.,positive
Getting errors for hours; any update?.,negative
Had a smooth experience with branch service today.,positive
Had a smooth experience with card payments today.,positive
the mobile app worked perfectly and the service was smooth.,positive
Getting timeouts all day; please fix it.,negative
Still failing and I am losing patience.,negative
Everything ran smoothly — super clear.,positive
Getting connection problems again today; any update?.,negative
Too many errors when trying to transfer money.,negative
Support sorted my issue straight away.,positive
Transfers is slow — keeps timing out.,negative
App is reliable and reliable lately.,positive
Still lagging and I can't do anything.,negative
Still timing out and I need help.,negative
Had a positive experience with card payments today.,positive
Support handled my issue in one call.,positive
Support promised a callback and never called.,negative
Customer care was responsive and solved my issue.,positive
The app is glitchy — error messages nonstop.,negative
App is great and responsive lately.,positive
"Got my issue resolved on the first call, thanks.",positive
Long wait times and no resolution.,negative
Transfer failed and there's no clear reason.,negative
"Card payments are working again, thanks.",positive
Notifications are timely and helpful.,positive
Card payments is down — error messages nonstop.,negative
App is great and responsive lately.,positive
App keeps freezing on the home screen.,negative
App is reliable and reliable lately.,positive
Really happy with the the mobile app experience.,positive
This is terrible: support isn't replying.,negative
"App is unreliable, outages too frequent.",negative
Support sorted my issue same day.,positive
Getting timeouts since this morning; someone help.,negative
Really impressed with the card payments experience.,positive
Really relieved with the the mobile app experience.,positive
Support resolved my issue straight away.,positive
Still timing out and I need help.,negative
"Not happy with the recent changes, feels worse.",negative
Card got declined twice today for no reason.,negative
"Good experience overall, easy and convenient.",positive
branch service worked instantly and the service was reliable.,positive
Everything worked smoothly — no errors.,positive
Everything loaded smoothly — no hassle.,positive
customer support worked perfectly and the service was reliable.,positive
Everything processed smoothly — very convenient.,positive
"Resolved my card issue quickly, thank you.",positive
Branch staff were friendly and efficient.,positive
Frustrated with the downtime this week.,negative
Everything ran smoothly — exactly as expected.,positive
App is smooth and fast lately.,positive
Getting payment declines all day; what's going on?.,negative
Happy with the digital experience lately.,positive
"Fast response from chat support, impressed.",positive
OTP delay is making payments impossible.,negative
Really impressed with the branch service experience.,positive
Bill payment is glitchy — error messages nonstop.,negative
card payments worked without issues and the service was positive.,positive
The mobile app keeps looping; no clear guidance from support.,negative
Everything ran smoothly — no hassle.,positive
Support handled my complaint really well.,positive
"Online banking keeps timing out, super annoying.",negative
Still not working and I am losing patience.,negative
Bill payment keeps crashing; no clear guidance from support.,negative
App is reliable and fast lately.,positive
Transfer limits were updated quickly after my request.,positive
Fees seem higher and nobody explains why.,negative
App is smooth and reliable lately.,positive
Had a great experience with the mobile app today.,positive
Card payments keeps freezing; making payments impossible.,negative
Everything worked smoothly — no hassle.,positive
"This is frustrating: I tried reinstalling, still broken.",negative
This is frustrating: no status update anywhere.,negative
branch service worked smoothly and the service was great.,positive
Had a smooth experience with customer support today.,positive
Support kept transferring me and nothing changed.,negative
"Received an SMS with a suspicious link, looks like a scam.",negative
The mobile app keeps looping; no clear guidance from support.,negative
card payments worked as expected and the service was reliable.,positive
Card payments failing at the worst time.,negative
"Support gave generic answers, no help.",negative
Payment declines are happening again today.,negative
Support resolved my issue within minutes.,positive
Online banking is broken — stuck pending.,negative
Issue was escalated and resolved the same day.,positive
Had a reliable experience with card payments today.,positive
Customer service is unresponsive.,negative
Support kept transferring me and nothing changed.,negative
Support cleared my issue same day.,positive
App is smooth and reliable lately.,positive
Stuck on the loading screen for ages.,negative
App is reliable and responsive lately.,positive
Support gave templates and nothing changed.,negative
"This is ridiculous: I tried reinstalling, still broken.",negative
"Transfer isn't going through, stuck pending.",negative
"Everything is so slow today, can't access my account.",negative
"App update made things worse, constant crashes.",negative
"App feels faster lately, nice improvement.",positive
Had a pleasant experience with branch service today.,positive
App is smooth and clean lately.,positive
"Login error after login error, please fix it.",negative
App is positive and fast lately.,positive
Support gave templates and nothing changed.,negative
Card payments keeps timing out; can't complete anything.,negative
card payments worked perfectly and the service was great.,positive
Had a pleasant experience with branch service today.,positive
"Transfer confirmation came instantly, perfect.",positive
Really relieved with the the mobile app experience.,positive
Customer support is unstable — stuck pending.,negative
Support cleared my issue quickly.,positive
Getting login failures right now; this needs a fix.,negative
"Session keeps timing out, unusable right now.",negative
Transfers keeps crashing; no clear guidance from support.,negative
Support took forever and nothing changed.,negative
"This is terrible: I tried reinstalling, still broken.",negative
card payments worked perfectly and the service was smooth.,positive
Caller ID looked real but it was a scam attempt.,negative
customer support worked instantly and the service was reliable.,positive
Still lagging and I am stuck.,negative
ATM didn't dispense cash but my account got debited.,negative
"Payments worked fine all day, no problems.",positive
"Great guidance from the agent, clear steps.",positive
"Everything worked smoothly, no complaints.",positive
Really happy with the card payments experience.,positive
Customer support keeps failing; no clear guidance from support.,negative
This is frustrating: no status update anywhere.,negative
Service has been disappointing lately.,negative
Really relieved with the bill payment experience.,positive
App is smooth and stable lately.,positive
The app keeps crashing; can't complete anything.,negative
Online banking is glitchy — error messages nonstop.,negative
Got a helpful reminder notification at the right time.,positive
card payments worked perfectly and the service was reliable.,positive
Support took forever and nothing changed.,negative
Everything loaded smoothly — very convenient.,positive
Quick callback and the issue was resolved.,positive
Still crashing and I am losing patience.,negative
online banking worked as expected and the service was great.,positive
"Hearing rumors about a data breach, worrying.",negative
"Shoutout to support, they fixed it quickly.",positive
Card payments is glitchy — stuck pending.,negative
Support didn't respond and nothing changed.,negative
the mobile app worked as expected and the service was positive.,positive
Still not working and I am losing patience.,negative
This is unacceptable: the error code explains nothing.,negative
Another outage? This is getting ridiculous.,negative
online banking worked as expected and the service was easy.,positive
Support was patient and explained everything.,positive
Everything loaded smoothly — no delays.,positive
"App is down again, can't log in.",negative
This is exhausting: the error code explains nothing.,negative
Support gave templates and nothing changed.,negative
This is unacceptable: support isn't replying.,negative
"Great experience, everything worked as expected.",positive
Getting timeouts again today; any update?.,negative
Online banking is broken — keeps timing out.,negative
Branch team was super helpful today.,positive
Getting login failures right now; any update?.,negative
"Transfer went through instantly, no issues.",positive
App is positive and reliable lately.,positive
Rewards are decent and easy to redeem.,positive
This is exhausting: no status update anywhere.,negative
Fees are confusing and support is slow.,negative
Still timing out and I am frustrated.,negative
Still failing and I am stuck.,negative
Support handled my issue same day.,positive
Really happy with the bill payment experience.,positive
the mobile app worked perfectly and the service was positive.,positive
Support fixed my issue straight away.,positive
Support gave templates and nothing changed.,negative
"OTP arrived immediately, appreciated.",positive
Had a smooth experience with bill payment today.,positive
Bill payment keeps freezing; no clear guidance from support.,negative
card payments worked instantly and the service was pleasant.,positive
Customer service replied fast and fixed it.,positive
Still lagging and I need help.,negative
"OTP not arriving, can't complete anything.",negative
Statement download worked fine.,positive
App is pleasant and fast lately.,positive
Getting timeouts for hours; this needs a fix.,negative
"This is ridiculous: I tried reinstalling, still broken.",negative
Online banking is super slow and timing out.,negative
The app update looks cleaner and runs well.,positive
Online banking is broken — can't log in.,negative
bill payment worked perfectly and the service was smooth.,positive
Had a reliable experience with the mobile app today.,positive
Still not working and I am stuck.,negative
This is unacceptable: no status update anywhere.,negative
Card activation worked smoothly.,positive
Customer support keeps looping; making payments impossible.,negative
Still not working and I am stuck.,negative
The mobile app is slow — stuck pending.,negative
"Saw a phishing message about account locked, very concerning.",negative
"Fees were explained clearly, appreciate the transparency.",positive
Transfer feature worked perfectly today.,positive
branch service worked perfectly and the service was great.,positive
Support closed my ticket and nothing changed.,negative
The mobile app keeps timing out; no clear guidance from support.,negative
Support didn't respond and nothing changed.,negative
Still crashing and I am losing patience.,negative
Support line is busy and no one is helping.,negative
Really satisfied with the service this week.,positive
"This is frustrating: I tried reinstalling, still broken.",negative
Support fixed my issue in one call.,positive
"Can't reset password, link not working.",negative
"This is unacceptable: I tried reinstalling, still broken.",negative
Getting payment declines since this morning; what's going on?.,negative
Customer service was helpful and polite.,positive
Really impressed with the the mobile app experience.,positive
Support handled my issue straight away.,positive
Had a great experience with customer support today.,positive
Smooth experience at the branch today.,positive
Support handled my issue quickly.,positive
App is pleasant and responsive lately.,positive
Support handled my issue straight away.,positive
Really pleased with the online banking experience.,positive
Bill payment keeps timing out; making payments impossible.,negative
Bill payment was successful on the first try.,positive
card payments worked instantly and the service was easy.,positive
Everything worked smoothly — exactly as expected.,positive
Card payments is unstable — error messages nonstop.,negative
App login was quick and stable today.,positive
App is easy and fast lately.,positive
"App is lagging badly, can't get anything done.",negative
This is unacceptable: the error code explains nothing.,negative
online banking worked smoothly and the service was pleasant.,positive
Card payments is broken — error messages nonstop.,negative
Bill payment keeps failing; can't complete anything.,negative
App is smooth and reliable lately.,positive
Really happy with the bill payment experience.,positive
Getting repeated connection errors in the app.,negative
"Transfer is pending for hours, unacceptable.",negative
Online banking is down — error messages nonstop.,negative
"Can't see my recent transactions, broken.",negative
Customer service is taking forever to respond.,negative
Everything ran smoothly — no errors.,positive
Good experience setting up my account.,positive
The app is down — keeps timing out.,negative
"This is terrible: I tried reinstalling, still broken.",negative
Card replacement process was straightforward.,positive
Balance isn't updating and support isn't responding.,negative
Transfers keeps timing out; no clear guidance from support.,negative
Error message when trying to check balance.,negative
Getting errors all day; what's going on?.,negative
App is reliable and reliable lately.,positive
Support cleared my issue straight away.,positive
Login keeps failing and it's so frustrating.,negative
Support handled my issue in one call.,positive
Support cleared my issue in one call.,positive
Still lagging and I am losing patience.,negative
Support cleared my issue in one call.,positive
Card payments keeps timing out; really frustrating.,negative
Staff handled my request professionally.,positive
Payments are failing and it's stressful.,negative
Support fixed my issue straight away.,positive
customer support worked perfectly and the service was great.,positive
Card payments keeps freezing; making payments impossible.,negative
Really happy with the branch service experience.,positive
